AR   ,A 
GB   ,CMD 
GB   ,CMN 
GB   ,CON 
GB   ,COV 
GB   ,CRF 
GB   ,CRY 
GB   ,CSR 
GB   ,CWY 
GB   ,DAL 
GB   ,DBY 
GB   ,DEN 
GB   ,DER 
GB   ,DEV 
GB   ,DGN 
GB   ,DGY 
GB   ,DNC 
GB   ,DND 
GB   ,DOR 
GB   ,DOW 
GB   ,DRY 
GB   ,DUD 
GB   ,DUR 
GB   ,EAL 
GB   ,EAY 
GB   ,EDH 
GB   ,EDU 
GB   ,ELN 
GB   ,ELS 
GB   ,ENF 
GB   ,ERW 
GB   ,ERY 
GB   ,ESS 
GB   ,ESX 
GB   ,FAL 
GB   ,FER 
GB   ,FIF 
GB   ,FLN 
GB   ,GAT 
GB   ,GLG 
GB   ,GLS 
GB   ,GRE 
GB   ,GWN 
GB   ,HAL 
GB   ,HAM 
GB   ,HAV 
GB   ,HCK 
GB   ,HEF 
GB   ,HIL 
GB   ,HLD 
GB   ,HMF 
GB   ,HNS 
GB   ,HPL 
GB   ,HRT 
GB   ,HRW 
GB   ,HRY 
GB   ,IOW 
GB   ,ISL 
GB   ,IVC 
GB   ,KEC 
GB   ,KEN 
GB   ,KHL 
GB   ,KIR 
GB   ,KTT 
GB   ,KWL 
GB   ,LAN 
GB   ,LBH 
GB   ,LCE 
GB   ,LDS 
GB   ,LEC 
GB   ,LEW 
GB   ,LIN 
GB   ,LIV 
GB   ,LMV 
GB   ,LND 
GB   ,LRN 
GB   ,LSB 
GB   ,LUT 
GB   ,MAN 
GB   ,MDB 
GB   ,MDW 
GB   ,MFT 
GB   ,MIK 
GB   ,MLN 
GB   ,MON 
GB   ,MRT 
GB   ,MRY 
GB   ,MTY 
GB   ,MYL 
GB   ,NAY 
GB   ,NBL 
GB   ,NDN 
GB   ,NEL 
GB   ,NET 
GB   ,NFK 
GB   ,NGM 
GB   ,NLK 
GB   ,NLN 
GB   ,NSM 
GB   ,NTA 
GB   ,NTH 
GB   ,NTL 
GB   ,NTT 
GB   ,NTY 
GB   ,NWM 
GB   ,NWP 
GB   ,NYK 
GB   ,NYM 
GB   ,OLD 
GB   ,OMH 
GB   ,ORK 
GB   ,OXF 
GB   ,PEM 
GB   ,PKN 
GB   ,PLY 
GB   ,POL 
GB   ,POR 
GB   ,POW 
GB   ,PTE 
GB   ,RCC 
GB   ,RCH 
GB   ,RCT 
GB   ,RDB 
GB   ,RDG 
GB   ,RFW 
GB   ,RIC 
GB   ,ROT 
GB   ,RUT 
GB   ,SAW 
GB   ,SAY 
GB   ,SCB 
GB   ,SFK 
GB   ,SFT 
GB   ,SGC 
GB   ,SHF 
GB   ,SHN 
GB   ,SHR 
GB   ,SKP 
GB   ,SLF 
GB   ,SLG 
GB   ,SLK 
GB   ,SND 
GB   ,SOL 
GB   ,SOM 
GB   ,SOS 
GB   ,SRY 
GB   ,STB 
GB   ,STE 
GB   ,STG 
GB   ,STH 
GB   ,STN 
GB   ,STS 
GB   ,STT 
GB   ,STY 
GB   ,SWA 
GB   ,SWD 
GB   ,SWK 
GB   ,TAM 
GB   ,TFW 
GB   ,THR 
GB   ,TOB 
GB   ,TOF 
GB   ,TRF 
GB   ,TWH 
GB   ,VGL 
GB   ,WAR 
GB   ,WBK 
GB   ,WDU 
GB   ,WFT 
GB   ,WGN 
GB   ,WIL 
GB   ,WKF 
GB   ,WLL 
GB   ,WLN 
GB   ,WLV 
GB   ,WND 
GB   ,WNM 
GB   ,WOK 
GB   ,WOR 
GB   ,WRL 
GB   ,WRT 
GB   ,WRX 
GB   ,WSM 
GB   ,WSX 
GB   ,YOR 
GB   ,ZET 
US   ,AK 
US   ,AL 
US   ,AR 
US   ,AS 
US   ,AZ 
US   ,CA 
US   ,CO 
US   ,CT 
US   ,DC 
US   ,DE 
US   ,FL 
US   ,GA 
US   ,GU 
US   ,HI 
US   ,IA 
US   ,ID 
US   ,IL 
US   ,IN 
US   ,KS 
US   ,KY 
US   ,LA 
US   ,MA 
US   ,MD 
US   ,ME 
US   ,MI 
US   ,MN 
US   ,MO 
US   ,MP 
US   ,MS 
US   ,MT 
US   ,NC 
US   ,ND 
US   ,NE 
US   ,NH 
US   ,NJ 
US   ,NM 
US   ,NV 
US   ,NY 
US   ,OH 
US   ,OK 
US   ,OR 
US   ,PA 
US   ,PR 
US   ,RI 
US   ,SC 
US   ,SD 
US   ,TN 
US   ,TX 
US   ,UM 
US   ,UT 
US   ,VA 
US   ,VI 
US   ,VT 
US   ,WA 
US   ,WI 
US   ,WV 
US   ,WY 
UY   ,AR 
UY   ,CA 
UY   ,CL 
UY   ,CO 
UY   ,DU 
UY   ,FD 
UY   ,FS 
UY   ,LA 
UY   ,MA 
UY   ,MO 
UY   ,PA 
UY   ,RN 
UY   ,RO 
UY   ,RV 
UY   ,SA 
UY   ,SJ 
UY   ,SO 
UY   ,TA 
UY   ,TT 
VN   ,CT 
VN   ,DN 
VN   ,HN 
VN   ,HP 
VN   ,SG 
VN   ,1
VN   ,2
VN   ,3
VN   ,4
VN   ,5
VN   ,6
VN   ,7
VN   ,9
VN   ,13
VN   ,14
VN   ,15
VN   ,18
VN   ,20
VN   ,21
VN   ,22
VN   ,23
VN   ,24
VN   ,25
VN   ,26
VN   ,27
VN   ,28
VN   ,29
VN   ,30
VN   ,31
VN   ,32
VN   ,33
VN   ,34
VN   ,35
VN   ,36
VN   ,37
VN   ,39
VN   ,40
VN   ,41
VN   ,43
VN   ,44
VN   ,45
VN   ,46
VN   ,47
VN   ,49
VN   ,50
VN   ,51
VN   ,52
VN   ,53
VN   ,54
VN   ,55
VN   ,56
VN   ,57
VN   ,58
VN   ,59
VN   ,60
VN   ,61
VN   ,62
VN   ,63
VN   ,66
VN   ,67
VN   ,68
VN   ,69
VN   ,70
VN   ,71
VN   ,72
VN   ,73
VE   ,A 
VE   ,B 
VE   ,C 
VE   ,D 
VE   ,E 
VE   ,F 
VE   ,G 
VE   ,H 
VE   ,I 
VE   ,J 
VE   ,K 
VE   ,L 
VE   ,M 
VE   ,N 
VE   ,O 
VE   ,P 
VE   ,R 
VE   ,S 
VE   ,T 
VE   ,U 
VE   ,V 
VE   ,W 
VE   ,X 
VE   ,Y 
VE   ,Z 
